iter	Passed	Remaining
0	1	127
1	2	116
2	3	108
3	4	98
4	5	96
5	6	99
6	7	100
7	8	103
8	9	100
9	11	99
10	12	98
11	13	96
12	13	93
13	15	92
14	16	92
15	18	97
16	19	95
17	20	93
18	21	91
19	22	90
20	23	88
21	24	86
22	25	84
23	26	82
24	27	82
25	28	81
26	31	86
27	33	86
28	34	85
29	35	83
30	36	82
31	37	80
32	38	79
33	39	77
34	41	76
35	42	75
36	44	75
37	45	73
38	46	72
39	47	70
40	47	68
41	48	66
42	49	65
43	50	64
44	51	63
45	52	61
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	23
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
